"2026-02-03T12:47:56.550","Mod 5_day_Check","Symbol","Cmp","%ch5","Lch5","Sl","Target","5d_high","R_vol","Forward pe","Pe","Rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Low","%ch sl","%ch sl atr","Atr%","%ch_3low","Column26"
"2026-02-03T12:47:56.550","About to","PFOCUS","253.25","7.43","16.58","-3.62","237.86","213.16","269.61","0.672","69.57","-50.81","46.98","70.25","realty","miscellaneous","27.47","2.36","0.357","1.15","0.382","1.28","6.47"
"2026-02-03T12:47:56.550","About to","ASHOKLEY","196.85","1.26","5.19","-3.87","196.02","189.75","201.38","0.558","38.15","19.82","67.53","82.21","auto","automobiles - lcvs / hcvs","60.87","-1.97","0.458","0.590","0.394","0.571","0.423"
"2026-02-03T12:47:56.550","About to","KAPSTON","400","0.730","5.69","-10.07","394","389.19","408.96","0.416","28.74","33.91","85.52","74.41","miscellaneous","miscellaneous","43.22","-3.58","0.580","0.973","0.485","0.885","1.52"
"2026-02-03T12:47:56.550","About to","KMEW","1845.50","4.60","20.49","0.885","1799.70","1644.42","1944.37","0.370","44.49","38.64","40.69","64.74","transportation","miscellaneous","28.31","1.69","0.699","1.00","0.779","1.17","2.54"
"2026-02-03T12:47:56.550","RS hma signal","Symbol","Cmp","%ch","Sl","Target","0d_high","R_vol","Forward pe","Pe","Rsi","W rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Column20","Low6"
"2026-02-03T12:47:56.550","funda","Symbol","F_pe","Pe","Eps[a]","Eps[a1]","Eps","Eps[1]","Eps[3]","Sales[a]","Sales[a1]","Sales","Sales[2]","Sales[3]","Roce","Fii","Fii[1]","Fii[2]","Fii[a]","Fii[a1]"
"2026-02-03T12:47:56.550","funda","MRF","27.60","30.60","5.03","-2.27","1239.38","1180.04","1207.48","-3.87","8.49","7378.72","7675.69","7074.82","13.27","18.17","18.27","18.67","-0.522","-2.13"
"2026-02-03T12:47:56.550","funda","AKZOINDIA","1.93","6.45","1749.45","-16.05","369.52","19.98","23.80","-16.10","-2.64","834.90","995.10","1022.10","39.12","8.66","7.97","3.70","8.60","115.79"
"2026-02-03T12:47:56.550","funda","FORCEMOT","18.60","23.50","98.88","-59.44","266.14","133.82","329.92","-9.40","-2.49","2081.40","2297.25","2356.01","29.59","10.46","10.27","9.77","1.82","5.16"
"2026-02-03T12:47:56.550","funda","TVSHLTD","15.79","19.39","11.36","31.98","243.75","218.89","165.85","4.57","14.34","14583.15","13945.52","12196.81","17.65","3.12","3.00","2.84","4.06","5.58"
"2026-02-03T12:47:56.550","funda","ABBOTINDIA","34.92","38.48","13.50","-0.318","195.42","172.17","172.72","1.08","8.34","1757.15","1738.35","1604.59","44.95","0.182","0.156","0.163","16.89","-4.36"
"2026-02-03T12:47:56.550","funda","ZUARI","0.359","1.17","714.27","398.73","191.68","23.54","4.72","14.17","30.89","1422.63","1246.05","951.99","14.04","2.71","2.85","2.67","-4.92","6.67"
"2026-02-03T12:47:56.550","funda","BOSCHLTD","49.73","40.24","-50.32","101.65","188.01","378.41","187.66","0.130","-2.48","4794.80","4788.60","4910.60","20.48","7.34","7.13","6.18","2.91","15.43"
"2026-02-03T12:47:56.550","funda","3MINDIA","55.62","78.24","148.98","-37.27","157.73","63.35","100.99","-0.189","9.93","1195.97","1198.23","1089.95","37.56","3.50","3.43","3.84","2.06","-10.65"
"2026-02-03T12:47:56.550","funda","BAJAJHLDNG","19.53","13.93","-55.28","102.13","140.10","313.30","155","22.24","123.50","396.87","324.66","145.26","11.53","10.26","10.33","10.31","-0.695","0.220"
"2026-02-03T12:47:56.550","funda","HONAUT","62.32","57.58","-4.13","-10.94","135.13","140.95","158.26","-2.85","6.16","1149.40","1183.10","1114.50","18.29","3.46","3.01","2.77","15.07","8.69"
