Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-21T02:50:24.697,JUBLPHARMA,1023.85,0.12,989.85,967.8,976.45,1094.95,0.61,33.9,40.71,65.13,healthcare,pharmaceuticals - indian - bulk drugs,19.97,4.85,-3.49,-0.1,-0.1,969.47,933.83,-2.86,2026-07-21,,,,,,,,,,,
2026-07-20T23:56:14.136,ATHERENERG,1296.7,1.13,1247.15,1158.0,1236.82,1386.52,1.09,-123.73,-91.91,72.53,auto,automobiles - scooters and 3 - wheelers,57.42,4.84,91.86,0.93,0.81,1167.3,1107.46,64.08,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,ACUTAAS,3656.2,1.02,3529.67,3450.0,3534.08,3839.38,0.44,56.81,83.19,65.27,healthcare,pharmaceuticals - indian - bulk drugs,34.95,3.46,115.79,0.98,1.05,3420.8,3259.74,51.56,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,ADANIENSOL,1729.5,0.4,1670.41,1636.6,1654.64,1841.79,0.39,75.99,90.66,72.16,power & utilities,power generation and supply,37.56,4.52,74.02,0.75,0.7,1617.3,1543.05,23.07,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,LAURUSLABS,1558.9,1.9,1496.66,1520.4,1542.03,1584.2,0.56,75.38,92.88,63.63,healthcare,pharmaceuticals - indian - bulk drugs & formln,36.48,1.09,55.73,0.33,0.58,1481.33,1436.46,22.92,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,CEMPRO,1627.0,0.74,1563.1,1532.0,1608.66,1654.51,1.34,28.85,46.39,81.74,realty,construction,64.23,1.14,99.52,1.21,0.94,1500.73,1419.02,22.68,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,ANANDRATHI,2082.7,0.48,2018.8,2052.8,2116.94,2031.34,0.17,53.02,44.69,65.59,financials,finance & investments,38.24,-1.62,39.23,0.24,0.3,1976.78,1919.55,21.24,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,AEGISLOG,1383.9,2.58,1312.61,1164.4,1344.07,1443.65,1.08,29.6,52.72,68.62,services,trading,56.41,2.96,86.74,0.8,0.78,1197.43,1108.17,20.82,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,BHARATFORG,2209.0,0.85,2125.72,2082.0,2124.17,2336.24,0.71,113.63,97.01,66.46,industrials,castings & forgings,27.85,3.99,55.88,0.4,0.61,2090.11,2007.35,19.49,2026-07-20,,,,,,,,,,,
2026-07-20T23:56:14.136,WELCORP,1615.8,2.17,1551.05,1576.0,1620.99,1608.01,0.86,28.77,25.83,60.87,industrials,steel - large,38.4,-0.32,100.97,1.02,0.62,1486.65,1417.59,19.33,2026-07-20,,,,,,,,,,,
