Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low 2%,Low5,Rs,Is,Tps,Rs score,High,Lod price,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,From52wh,3d range,5d
2026-07-19T23:40:58.755,DHANBANK,33.86,1.73,-4.26,32.85,36.65,35.35,0.69,7.7,12.97,52.22,bank,banks - private sector,24.24,2.03,0.22,0.26,0.22,0.23,2.54,33.89,5.79,-4.42,5.11,4.92,6.72,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,KARURVYSYA,309.8,2.08,-2.18,294.75,316.55,312.0,0.73,10.33,11.45,50.64,bank,banks - private sector,9.42,-0.06,0.04,0.2,0.04,0.16,2.9,297.05,3.7,-6.3,3.31,4.85,5.02,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,GUFICBIO,381.9,3.72,-3.59,377.62,407.18,407.0,0.42,43.8,59.67,56.29,healthcare,pharmaceuticals - indian - bulk drugs & formln,43.53,-0.3,0.09,0.1,0.09,0.09,2.72,382.0,3.91,-8.19,4.91,4.64,12.99,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,360ONE,1113.7,-0.11,-5.62,1088.75,1169.25,1133.6,2.06,34.25,35.78,48.0,financials,finance & investments,12.29,-0.6,-0.13,-0.07,-0.13,-0.1,2.26,1104.0,3.7,-5.73,3.0,4.42,5.24,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,HDFCAMC,2651.2,0.22,-6.29,2724.22,2798.18,2789.8,0.96,33.94,30.96,48.85,financials,finance & investments,13.91,-2.39,-0.03,-0.05,-0.03,-0.06,0.48,2748.0,1.36,-4.15,2.71,4.36,8.42,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,IDFCFIRSTB,80.35,-0.04,-2.54,80.15,81.51,81.37,0.57,52.86,42.51,53.57,bank,banks - private sector,38.21,-3.54,-0.12,-0.01,-0.12,-0.03,1.3,79.79,0.84,-4.18,2.4,4.34,10.26,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,ADANIENT,3160.7,1.98,-1.33,3091.84,3222.76,3219.7,0.82,-462.09,40.28,54.08,services,trading,34.24,-1.67,0.28,0.2,0.28,0.17,1.85,3100.0,2.12,-5.23,3.03,4.31,6.81,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,ACMESOLAR,385.25,5.74,-3.04,375.64,378.36,398.65,0.64,41.88,46.75,57.15,realty,engineering - turnkey services,43.45,-3.36,0.51,0.28,0.51,0.26,2.52,367.75,0.36,-7.0,3.79,4.29,15.59,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,CENTENKA,541.4,18.88,-1.57,519.04,527.36,622.0,0.22,7.51,11.76,48.88,textiles,textiles - manmade,40.24,-3.18,0.08,0.08,0.08,0.07,1.0,518.0,0.8,-2.42,2.98,3.88,5.73,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,AUBANK,1030.2,-0.32,-5.02,1051.68,1092.52,1079.9,0.76,23.14,29.11,53.23,bank,banks - private sector,29.04,-1.57,-0.02,0.19,-0.02,0.16,2.1,1050.0,1.94,-4.83,2.55,3.79,7.06,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-19T23:40:58.755,ULTRACEMCO,11727.0,1.41,-3.04,11477.35,11944.65,11876.0,0.42,28.91,42.24,47.87,building materials,cement - north india,11.99,-1.35,-0.12,-0.07,-0.12,-0.08,1.1,11584.0,2.04,-3.53,1.79,3.75,4.76,2026-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
