Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Lod dist%,Vars,Smavars,Market_cap,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2,W rsi,Adr p - adr%,From52wh,3d range,5d
2026-07-08T15:05:14.254,GRANULES,851.95,,,807.61,940.63,,,25.88,35.33,,healthcare,pharmaceuticals - indian - bulk drugs & formln,,7.94,0.3,0.46,0.28,0.48,,,2.5,,2.99,2.09,,2026-07-08,872.5,851.2,-1.34,814.46,2.77,2.77,86.13,25.47,3.24,3.24,3.38,93.07,21398.5,5.53,4.39,3.76,2.94,153593396,247796921,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,KIRLOSENG,2278.3,,,2384.16,2066.58,,,52.21,57.44,,industrials,engines,,-5.68,0.67,1.49,0.65,1.49,,,3.46,,5.65,1.72,,2026-07-08,2328.0,2250.2,0.37,2103.76,3.94,3.94,354.75,128.81,5.23,5.23,2.75,102.64,32995.09,6.3,5.84,3.26,21.81,85653846,145359209,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,NEULANDLAB,18775.0,,,18475.63,19373.73,,,28.32,66.62,,healthcare,pharmaceuticals - indian - bulk drugs,,3.06,0.15,0.1,0.13,0.11,,,3.29,,3.08,1.38,,2026-07-08,19265.0,18651.0,-0.66,17898.83,3.29,3.29,1673.48,579.16,3.19,3.19,2.89,49.65,24248.49,6.36,4.76,3.17,21.41,8642905,12829889,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,RAYMONDREL,659.55,,,644.63,689.39,,,6.88,14.76,,realty,construction,,5.17,0.17,0.04,0.16,0.06,,,7.75,,5.88,0.82,,2026-07-08,704.9,654.2,-1.85,605.98,7.75,7.75,74.06,38.8,5.46,5.46,1.91,67.31,4473.42,6.48,5.01,2.15,13.79,32814131,66573731,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,RAIN,197.77,,,183.17,226.96,,,13.7,22.42,,miscellaneous,miscellaneous,,6.33,0.24,0.51,0.26,0.54,,,6.9,,4.82,6.03,,2026-07-08,210.0,196.45,-1.56,183.46,8.03,8.03,23.97,9.52,5.12,5.12,2.52,133.1,6757.52,8.15,7.61,2.86,13.86,197273326,336345679,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,ACUTAAS,3438.3,,,3464.59,3385.72,,,53.42,77.94,,healthcare,pharmaceuticals - indian - bulk drugs,,-1.82,0.79,0.88,0.77,0.86,,,5.39,,4.68,2.7,,2026-07-08,3575.4,3392.4,1.39,3220.02,6.79,6.79,385.71,160.91,4.53,4.53,2.4,88.94,27762.5,8.16,6.7,2.7,28.53,55129706,81871122,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,GLAND,2475.0,,,2384.95,2655.11,,,27.8,40.89,,healthcare,pharmaceuticals - indian - formulations,,5.72,0.34,0.24,0.36,0.28,,,5.05,,3.55,1.93,,2026-07-08,2573.5,2449.9,-2.94,2346.3,5.05,5.05,302.68,87.91,3.79,3.79,3.44,120.88,42012.89,8.24,5.25,3.92,28.55,79362489,164756423,,,,,,,,,,,,,,,,
2026-07-08T15:05:14.254,LAURUSLABS,1460.6,,,1487.47,1406.86,,,70.63,89.7,,healthcare,pharmaceuticals - indian - bulk drugs & formln,,-0.14,0.22,0.53,0.22,0.55,,,3.24,,3.18,0.86,,2026-07-08,1495.1,1448.2,-1.14,1397.16,3.24,3.24,103.68,46.47,3.14,3.14,2.23,60.7,79758.41,8.86,8.54,2.4,26.68,391424862,539856582,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,PGEL,560.5,,,490.83,699.85,,,61.73,81.11,,consumer discretionary,electronics - components,,16.7,-0.08,0.06,-0.1,0.07,,,2.44,,3.78,6.36,,2026-06-22,568.2,554.65,-0.67,529.07,3.97,3.97,52.25,21.18,3.98,3.98,2.47,71.43,15992.11,0.83,-3.28,2.72,27.61,161449118,285318658,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,CHOLAFIN,1693.4,,,1540.97,1998.26,,,21.9,27.34,,financials,finance & investments,,11.59,-0.07,0.02,-0.1,0.02,,,1.65,,2.81,1.95,,2026-06-22,1704.1,1676.5,0.27,1617.38,2.59,2.59,126.9,47.63,3.08,3.08,2.66,66.57,144283.97,1.23,-0.72,2.88,35.48,432397124,852037169,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,ITI,312.45,,,297.01,343.33,,,20.03,129.65,,aerospace & defence,telecommunications - equipment,,4.34,-0.04,-0.02,-0.06,-0.02,,,5.4,,3.43,2.59,,2026-06-22,325.85,309.15,0.42,296.87,6.14,6.14,16.32,10.72,3.37,3.37,1.52,75.75,30084.31,1.34,1.1,1.61,30.78,96088691,962851967,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,IIFL,532.6,,,515.33,567.13,,,9.65,13.63,,financials,finance & investments,,2.0,-0.13,0.14,-0.15,0.13,,,2.4,,3.5,3.14,,2026-06-22,537.6,525.0,0.64,503.25,4.11,4.11,59.39,18.66,3.93,3.93,3.18,51.44,22650.92,2.51,0.46,3.58,40.73,319614908,425289575,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,SIEMENS,3759.6,,,3567.7,4143.4,,,90.38,85.99,,industrials,electric equipment,,3.66,0.1,0.16,0.08,0.16,,,1.77,,2.49,3.68,,2026-06-22,3776.1,3710.5,0.36,3591.53,2.43,2.43,84.32,93.52,3.19,3.19,0.9,61.39,133887.07,2.69,2.64,0.92,52.5,89030592,356120505,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,JBMA,727.3,,,671.94,838.03,,,57.91,78.54,,auto,auto ancillaries,,4.3,0.21,0.03,0.15,0.0,,,5.56,,3.88,6.88,,2026-06-22,738.0,699.15,2.94,685.24,7.16,7.16,82.59,28.18,3.87,3.87,2.93,251.19,17200.23,2.93,2.59,3.31,99.88,76785978,236494264,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,AMBER,7889.0,,,7454.41,8758.18,,,51.85,152.92,,consumer discretionary,air-conditioners,,7.03,0.1,-0.08,0.07,-0.06,,,6.68,,3.8,2.41,,2026-06-22,8218.0,7703.5,-0.96,7429.46,6.68,6.68,116.88,299.78,3.52,3.52,0.39,381.73,27762.71,2.95,2.25,0.4,61.88,21758430,35191667,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,IRMENERGY,279.85,,,246.95,345.65,,,22.5,21.59,,energy,miscellaneous,,8.76,-0.08,-0.27,-0.14,-0.3,,,10.64,,5.95,6.77,,2026-06-22,290.0,262.1,5.07,256.14,10.64,10.64,7.73,16.66,5.14,5.14,0.46,12.12,1149.06,3.41,2.59,0.48,106.57,20500904,41059677,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,ITDC,619.0,,,593.23,670.55,,,46.89,64.41,,services,hotels,,4.19,0.06,0.02,0.02,0.01,,,2.75,,4.76,2.3,,2026-06-22,623.0,606.3,1.2,575.28,2.96,2.96,36.56,29.45,4.79,4.79,1.24,6.54,5309.13,3.64,2.78,1.32,43.13,11127719,85769400,,,,,,,,,,,,,,,,
2026-06-22T05:30:54.491,BANDHANBNK,208.09,,,206.02,212.24,,,15.67,27.38,,bank,banks - private sector,,4.02,0.3,0.23,0.31,0.27,,,3.38,,3.45,0.52,,2026-06-22,214.0,207.01,-2.89,197.63,3.38,3.38,13.7,7.18,3.29,3.29,1.91,60.87,33522.72,4.16,3.73,2.04,15.05,982948469,1610972314,,,,,,,,,,,,,,,,
