Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low,Max2,R_vol,Rsi,W rsi,Adx,Adr p - adr%,%ch7,Lch7,Lc
2026-03-08T23:58:15.94,LINCOLN,622.9,,616.75,-0.99,578.06,648.09,554.08,10.8,14.06,healthcare,pharmaceuticals - indian - formulations,-4.5,0.01,0.07,0.02,0.08,1.12,1.12,1.12,4.11,1.11,94.01,25.32,,,,,,,,,2.96,,,2026-03-08,616.0,622.9,0.17,63.02,62.48,58.08,6.06,,,
2026-03-08T23:58:15.94,THANGAMAYL,3741.1,,3695.2,1.67,3398.11,3695.11,3695.38,27.4,47.73,consumer discretionary,diamond cutting / jewellery,-4.81,0.56,0.91,0.51,0.88,6.52,6.52,3.92,5.31,5.22,138.7,196.25,,,,,,,,,48.51,,,2026-03-08,3600.0,3741.1,0.41,52.31,63.14,16.9,5.37,,,
2026-03-08T23:58:15.94,SEAMECLTD,1356.8,,1346.0,1.81,1252.3,1318.11,1401.79,8.59,17.93,miscellaneous,miscellaneous,-3.45,0.35,0.56,0.31,0.54,5.88,5.88,2.62,4.79,5.03,134.22,64.52,,,,,,,,,37.04,,,2026-03-08,1322.1,1356.8,0.31,58.47,73.15,36.9,4.85,,,
2026-03-08T23:58:15.94,TDPOWERSYS,908.4,,878.75,-0.63,819.97,896.8,842.66,60.86,62.46,industrials,electric equipment,-4.19,0.43,0.66,0.47,0.67,5.32,5.32,4.07,4.51,1.88,115.26,39.62,,,,,,,,,14.77,,,2026-03-08,872.9,908.4,0.7,60.86,67.85,39.28,4.69,,,
2026-03-08T23:58:15.94,SANSERA,2245.4,,2197.7,-1.61,2050.68,2336.4,1920.31,49.72,52.04,auto,auto ancillaries,-7.43,0.45,0.59,0.5,0.61,3.0,3.0,2.76,4.5,2.17,248.63,98.94,,,,,,,,,12.84,,,2026-03-08,2185.0,2245.4,0.35,55.58,68.25,40.2,4.56,,,
2026-03-08T23:58:15.94,CIEINDIA,475.3,,463.95,-1.34,435.97,476.62,438.62,21.56,21.26,industrials,castings & forgings,-5.77,0.06,0.0,0.09,0.02,5.21,5.21,2.86,4.6,4.02,31.75,21.35,,,,,,,,,8.67,,,2026-03-08,462.1,475.3,0.8,53.85,62.13,44.67,4.4,,,
2026-03-08T23:58:15.94,MANGLMCEM,864.4,,851.65,0.1,805.74,892.1,770.74,51.55,29.05,building materials,cement - north india,-5.56,0.06,0.1,0.01,0.1,2.37,2.37,2.17,3.93,1.16,55.43,33.44,,,,,,,,,16.89,,,2026-03-08,846.0,864.4,0.42,53.24,59.08,36.16,4.1,,,
2026-03-08T23:58:15.94,MAHABANK,71.23,,70.13,-1.76,66.31,71.35,67.7,7.49,8.33,bank,banks - public sector,-2.6,0.22,0.24,0.24,0.27,3.23,3.23,2.49,4.19,4.28,4.42,2.94,,,,,,,,,21.44,,,2026-03-08,69.5,71.23,0.67,54.04,65.22,24.63,3.4,,,
2026-03-08T23:58:15.94,OIL,489.05,,484.5,1.13,458.2,463.8,525.9,16.48,13.52,energy,oil drilling / allied services,2.9,0.14,0.05,0.11,0.04,3.09,3.09,3.02,3.84,2.13,25.8,18.6,,,,,,,,,52.69,,,2026-03-08,474.7,489.05,1.34,55.57,59.85,19.02,3.35,,,
2026-03-08T23:58:15.94,INDIANB,954.55,,939.4,-1.3,896.86,966.73,884.74,10.05,10.99,bank,banks - public sector,-3.36,0.29,0.46,0.31,0.48,2.64,2.64,1.91,3.06,2.59,55.52,28.76,,,,,,,,,9.56,,,2026-03-08,936.65,954.55,0.51,53.43,64.07,19.15,2.83,,,
2026-03-08T23:58:15.94,BLUESTARCO,1976.2,,1948.5,0.09,1858.4,1941.35,1962.8,124.27,81.05,consumer discretionary,air-conditioners,-7.35,-0.05,0.16,-0.08,0.16,8.52,8.52,3.54,3.33,7.0,99.91,64.91,,,,,,,,,61.31,,,2026-03-08,1908.7,1976.2,2.24,55.02,56.93,31.45,2.8,,,
2026-03-08T23:58:15.94,POWERGRID,302.75,,299.15,-0.1,288.71,302.5,292.46,16.62,17.91,power & utilities,power generation and supply,-4.14,-0.03,0.01,-0.04,0.01,3.72,3.72,1.94,2.41,3.55,21.96,7.2,,,,,,,,,29.86,,,2026-03-08,297.0,302.75,1.05,58.17,61.69,22.6,2.3,,,
