Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist%,E_s50,Avg_true_range,Adr%,Vars,Smavars,Ma_x,Rvol,Market_cap,From52wh,3d range,5d,Free float,Low,Max2,W rsi,Lod dist,Adr p - adr%
2026-04-02T12:31:44.185,UNIVCABLES,654.7,-4.35,,,612.52,739.06,,20.88,15.08,,industrials,cables - power,,5.39,,-0.17,-0.19,,,,2026-04-02,682.0,647.15,596.21,8.15,-0.12,-0.15,5.39,5.39,6.45,4.91,17.87,-26.68,42.25,6.03,2.58,-0.52,-0.63,40.73,2374.9,,,,,,,,,
2026-04-02T12:31:44.185,INOXINDIA,1235.3,-0.79,,,1176.36,1353.18,,46.16,45.54,,industrials,packaging,,2.42,,-0.02,-0.05,,,,2026-04-02,1238.3,1209.0,1167.58,2.24,-0.03,-0.04,4.04,4.04,4.13,7.52,51.51,82.55,51.06,4.25,8.03,6.92,1.62,40.33,11300.96,,,,,,,,,
2026-04-02T12:31:44.185,QPOWER,826.95,-4.6,,,791.09,898.66,,41.1,62.09,,industrials,electric equipment,,3.04,,-0.27,-0.08,,,,2026-04-02,844.95,820.0,755.21,6.13,-0.26,-0.03,3.04,3.04,6.11,4.4,13.76,35.59,50.49,5.06,8.11,6.83,0.71,37.87,6712.85,,,,,,,,,
2026-04-02T12:31:44.185,IMFA,1225.0,-0.55,,,1168.68,1337.64,,12.59,18.04,,metals & mining,mining / minerals / metals,,3.73,,-0.01,0.56,,,,2026-04-02,1234.7,1190.3,1130.02,5.32,0.02,0.57,3.73,3.73,5.1,3.46,55.59,-25.22,62.42,4.78,6.26,3.26,-0.4,36.05,6646.07,,,,,,,,,
2026-04-02T12:31:44.185,GMBREW,1027.8,-2.01,,,984.89,1113.61,,13.97,14.68,,fmcg,breweries & distilleries,,3.03,,0.3,0.36,,,,2026-04-02,1031.3,1001.0,955.56,3.26,0.37,0.39,3.03,3.03,5.18,5.42,50.36,25.29,53.22,4.4,6.19,3.68,0.48,35.0,2396.41,,,,,,,,,
2026-04-02T12:31:44.185,PFOCUS,327.65,-2.86,,,293.91,395.12,,90.01,-72.69,,realty,miscellaneous,,4.33,,0.74,0.86,,,,2026-04-02,339.65,325.55,301.33,19.07,0.75,0.91,4.33,4.33,5.89,3.25,10.89,61.32,19.29,5.91,11.89,7.99,3.18,31.52,26174.16,,,,,,,,,
2026-04-02T12:31:44.185,WAAREEENER,3011.5,-2.52,,,3043.42,2947.67,,20.38,27.14,,industrials,electric equipment,,3.16,,-0.17,-0.09,,,,2026-04-02,3075.0,2980.8,2819.14,2.41,-0.15,-0.07,3.16,3.16,4.44,1.03,22.95,122.78,133.77,4.08,8.39,4.59,0.92,30.92,88858.03,,,,,,,,,
2026-04-02T12:31:44.185,SHRIPISTON,2918.4,-3.53,,,2910.89,2933.42,,26.12,24.53,,auto,auto ancillaries,,3.64,,-0.02,0.15,,,,2026-04-02,3023.9,2917.8,2714.83,3.95,0.03,0.19,3.64,3.64,4.61,0.02,0.45,-43.4,134.43,4.69,5.38,3.2,-0.32,30.42,13325.95,,,,,,,,,
2026-04-02T12:31:44.185,BELRISE,188.28,-0.56,,,181.77,201.29,,32.46,30.2,,auto,auto ancillaries,,2.3,,0.09,0.5,,,,2026-04-02,188.45,184.21,176.32,4.17,0.1,0.51,2.3,2.3,4.41,2.21,49.06,6.75,8.3,4.23,8.47,6.47,0.81,28.22,16848.97,,,,,,,,,
2026-04-02T12:31:44.185,TVSHLTD,14010.0,-1.46,,,13368.4,15293.2,,14.37,18.5,,financials,finance & investments,,1.81,,0.01,0.13,,,,2026-04-02,14200.0,13948.0,13251.02,6.2,0.01,0.15,1.81,1.81,3.26,2.23,13.56,-384.68,457.39,3.27,5.18,4.04,-0.84,26.94,28763.98,,,,,,,,,
2026-04-02T12:31:44.185,KINGFA,4158.1,-0.88,,,3962.9,4548.49,,31.18,31.98,,plastic products,plastics products,,1.86,,-0.14,0.18,,,,2026-04-02,4177.8,4101.7,3909.59,4.88,-0.16,0.19,1.86,1.86,3.74,5.09,36.31,-42.35,155.31,3.52,3.59,3.51,-0.27,26.53,5684.53,,,,,,,,,
2026-04-02T12:31:44.185,PRIVISCL,2912.5,-0.63,,,2864.38,3008.73,,36.46,38.12,,chemicals,chemicals,,2.24,,0.14,0.17,,,,2026-04-02,2929.9,2865.7,2776.59,2.06,0.12,0.18,2.24,2.24,3.01,1.63,53.38,52.05,87.68,3.16,8.82,6.62,0.59,24.88,11449.28,,,,,,,,,
2026-04-02T12:31:44.185,TDPOWERSYS,841.05,-2.5,,,808.06,907.03,,58.24,61.31,,industrials,electric equipment,,3.15,,0.3,0.63,,,,2026-04-02,852.0,826.0,780.3,6.99,0.34,0.67,3.15,3.15,4.77,1.82,37.53,27.75,40.1,4.56,9.74,8.25,0.69,23.91,13475.09,,,,,,,,,
2026-04-02T12:31:44.185,SOUTHWEST,215.99,-0.47,,,201.85,244.27,,17.47,21.15,,metals & mining,mining / minerals / metals,,2.84,,0.51,0.38,,,,2026-04-02,216.28,210.31,195.12,9.27,0.49,0.39,2.84,2.84,6.98,8.0,37.69,19.93,15.07,7.6,9.63,6.83,1.32,23.16,647.34,,,,,,,,,
2026-04-02T12:31:44.185,ASTERDM,661.75,-3.8,,,641.17,702.9,,162.19,107.32,,healthcare,healthcare,,4.11,,-0.03,0.08,,,,2026-04-02,684.5,657.5,620.92,5.07,0.0,0.12,4.11,4.11,4.52,2.49,14.22,43.54,29.89,4.51,9.24,6.5,1.46,22.66,35641.55,,,,,,,,,
2026-04-02T12:31:44.185,POCL,1068.7,-2.84,,,1000.67,1204.76,,23.09,29.18,,metals & mining,mining / minerals / metals,,2.16,,-0.16,0.05,,,,2026-04-02,1076.5,1053.7,981.41,4.82,-0.12,0.08,3.52,3.52,5.85,6.66,23.98,-88.98,62.56,4.84,0.38,-0.54,-1.42,22.66,3355.94,,,,,,,,,
2026-04-02T12:31:44.185,DELHIVERY,418.95,-2.89,,,406.78,443.29,,197.62,211.47,,transportation,miscellaneous,,2.27,,-0.11,-0.05,,,,2026-04-02,425.0,415.55,396.91,5.85,-0.12,-0.02,2.27,2.27,3.8,1.82,21.33,-2.97,15.94,3.18,6.27,5.71,-0.19,22.03,32272.85,,,,,,,,,
2026-04-02T12:31:44.185,KIOCL,335.15,-2.71,,,310.48,384.48,,279.29,-284.71,,metals & mining,mining / minerals / metals,,4.41,,-0.3,0.1,,,,2026-04-02,342.45,328.0,304.98,6.01,-0.26,0.14,6.17,6.17,6.56,6.92,32.51,-3.82,22.0,6.12,3.43,1.85,-0.17,22.01,20937.03,,,,,,,,,
2026-04-02T12:31:44.185,GESHIP,1444.1,-1.1,,,1408.31,1515.69,,6.34,9.22,,transportation,shipping,,2.56,,0.34,0.4,,,,2026-04-02,1455.0,1418.7,1358.85,2.15,0.34,0.42,2.56,2.56,4.2,3.96,41.89,125.95,60.64,4.51,13.07,12.6,2.08,21.97,20845.43,,,,,,,,,
